"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 15:39:58 GMT 2024","Sat Feb 17 15:39:59 GMT 2024","1019","","","","","","Adivinar una letra correcta -- @1.1 ",""
"passed","Sat Feb 17 15:40:01 GMT 2024","Sat Feb 17 15:40:03 GMT 2024","1548","","","","","","Reinicia el juego -- @1.1 ",""
"passed","Sat Feb 17 15:40:05 GMT 2024","Sat Feb 17 15:40:06 GMT 2024","1833","","","","","","Reinicia el juego -- @1.3 ",""
"passed","Sat Feb 17 15:40:03 GMT 2024","Sat Feb 17 15:40:05 GMT 2024","1576","","","","","","Reinicia el juego -- @1.2 ",""
"broken","Fri Feb 16 12:32:59 GMT 2024","Fri Feb 16 12:33:05 GMT 2024","5848","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 15:39:57 GMT 2024","Sat Feb 17 15:39:58 GMT 2024","1214","","","","","","Ingresar una letra incorrecta -- @1.3 ",""
"passed","Sat Feb 17 15:39:53 GMT 2024","Sat Feb 17 15:39:54 GMT 2024","859","","","","","","Iniciar nuevo juego -- @1.2 ",""
"passed","Sat Feb 17 15:40:00 GMT 2024","Sat Feb 17 15:40:01 GMT 2024","981","","","","","","Adivinar una letra correcta -- @1.3 ",""
"passed","Sat Feb 17 15:39:54 GMT 2024","Sat Feb 17 15:39:56 GMT 2024","1259","","","","","","Ingresar una letra incorrecta -- @1.1 ",""
"passed","Sat Feb 17 15:39:54 GMT 2024","Sat Feb 17 15:39:54 GMT 2024","926","","","","","","Iniciar nuevo juego -- @1.3 ",""
"passed","Sat Feb 17 15:39:56 GMT 2024","Sat Feb 17 15:39:57 GMT 2024","1294","","","","","","Ingresar una letra incorrecta -- @1.2 ",""
"passed","Sat Feb 17 15:39:44 GMT 2024","Sat Feb 17 15:39:53 GMT 2024","8453","","","","","","Iniciar nuevo juego -- @1.1 ",""
"passed","Sat Feb 17 15:39:59 GMT 2024","Sat Feb 17 15:40:00 GMT 2024","1199","","","","","","Adivinar una letra correcta -- @1.2 ",""
"broken","Fri Feb 16 12:32:53 GMT 2024","Fri Feb 16 12:32:59 GMT 2024","6109","","","","","","Adivinar una letra correcta -- @1.2 ",""
